Loss development:

=> most between 0.65 - 0.7

=> exception: lstm v9

    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.03548255190253258
    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.017402052879333496
    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.01148796733468771
    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.008565006777644157
    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.006824727635830641
    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.005670863203704357
    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.004850076045840979
    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.00423642760142684
    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.0037603937089443207
    experiment-logs/brussels/v0.4.3-single-dnn-v9-minmax-text.log:[LOSS] 0.0033803717233240604

LSTM v5:

    experiment-logs/brussels/v0.4.3-single-lstm-v5-minmax-text.log:[LOSS] 0.37900722861289976
    experiment-logs/brussels/v0.4.3-single-lstm-v5-minmax-text.log:[LOSS] 0.23461277568340302
    experiment-logs/brussels/v0.4.3-single-lstm-v5-minmax-text.log:[LOSS] 0.15536491870880126
    experiment-logs/brussels/v0.4.3-single-dnn-v6-minmax-text.log:[LOSS] 0.026262447237968445
    experiment-logs/brussels/v0.4.3-single-dnn-v6-minmax-text.log:[LOSS] 0.0020667370408773422
    experiment-logs/brussels/v0.4.3-single-dnn-v6-minmax-text.log:[LOSS] 0.00017093864153139293

LSTM v2:

    experiment-logs/brussels/v0.4.3-single-dnn-v1-minmax-text.log:[LOSS] 0.035482555627822876
    experiment-logs/brussels/v0.4.3-single-dnn-v1-minmax-text.log:[LOSS] 0.017402052879333496
    experiment-logs/brussels/v0.4.3-single-dnn-v1-minmax-text.log:[LOSS] 0.01148796733468771
    experiment-logs/brussels/v0.4.3-single-lstm-v2-minmax-text.log:[LOSS] 0.5293353796005249
    experiment-logs/brussels/v0.4.3-single-lstm-v2-minmax-text.log:[LOSS] 0.4077104926109314
    experiment-logs/brussels/v0.4.3-single-lstm-v2-minmax-text.log:[LOSS] 0.31764546036720276

DNN v6:

    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.2228963176727295
    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.41515131821632384
    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.5668838532447815
    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.5441243013381958
    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.6286374074935913
    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.5575207685470581
    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.6266236924171448
    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.5582606091499328
    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.5493700493812561
    experiment-logs/brussels/dnn-v6.log:[LOSS] 0.3784349170684814

DNN v0:

    experiment-logs/brussels/v0.4.3-single-dnn-v0-minmax-text.log:[LOSS] 0.0262601338326931
    experiment-logs/brussels/v0.4.3-single-dnn-v0-minmax-text.log:[LOSS] 0.002066559623926878
    experiment-logs/brussels/v0.4.3-single-dnn-v0-minmax-text.log:[LOSS] 0.0001709242060314864

LSTM v3:

    experiment-logs/brussels/v0.4.3-single-lstm-v3-minmax-text.log:[LOSS] 0.38593435287475586
